accession_id,strain_name,classification
JAXMS00001,C57BL/6J,Inbred - Founder
JAXMS00002,CAST/EiJ,Inbred - Founder
JAXMS00003,A/J,Inbred - Founder
JAXMS00004,WSB/EiJ,Inbred - Founder
JAXMS00005,NOD/ShILtJ,Inbred - Founder
JAXMS00006,129S1/SvImJ,Inbred - Founder
JAXMS00007,DO (J:DO),Diversity Outbred
JAXMS00008,RIX:CC(011 X 027),Collaborative Cross F1 hybrid
JAXMS00009,RIX:CC(011 X 005),Collaborative Cross F1 hybrid
JAXMS00010,RIX:CC(002 X 043),Collaborative Cross F1 hybrid
JAXMS00011,RIX:CC(030 X 002),Collaborative Cross F1 hybrid
JAXMS00012,RIX:CC(002 X 075),Collaborative Cross F1 hybrid
JAXMS00013,RIX:CC(024 X 002),Collaborative Cross F1 hybrid
JAXMS00014,RIX:CC(012 X 002),Collaborative Cross F1 hybrid
JAXMS00015,RIX:CC(001 X 042),Collaborative Cross F1 hybrid
JAXMS00016,RIX:CC(043 X 011),Collaborative Cross F1 hybrid
JAXMS00017,RIX:CC(019 X 042),Collaborative Cross F1 hybrid
JAXMS00018,RIX:CC(051 X 019),Collaborative Cross F1 hybrid
JAXMS00019,RIX:CC(051 X 059),Collaborative Cross F1 hybrid
JAXMS00020,RIX:CC(019 X 075),Collaborative Cross F1 hybrid
JAXMS00021,RIX:CC(004 X 019),Collaborative Cross F1 hybrid
JAXMS00022,RIX:CC(075 X 042),Collaborative Cross F1 hybrid
JAXMS00023,RIX:CC(042 X 040),Collaborative Cross F1 hybrid
JAXMS00024,RIX:CC(043 X 042),Collaborative Cross F1 hybrid
JAXMS00025,RIX:CC(051 X 060),Collaborative Cross F1 hybrid
JAXMS00026,RIX:CC(009 X 013),Collaborative Cross F1 hybrid
JAXMS00027,RIX:CC(042 X 060),Collaborative Cross F1 hybrid
JAXMS00028,NZO/HlLtJ,Inbred - Founder
JAXMS00029,PWK/PhJ,Inbred - Founder
